llavemod,dictamen,score_final,dti_ratio,dti_clasificacion,reglas_activadas,n_reglas,n_compensaciones,errores_validacion
1255205102,RECHAZADO,22,0.3,MODERADO,R004|R012,2,1,
1255303102,RECHAZADO,26,0.3,MODERADO,R004|R012,2,1,
1255402102,RECHAZADO,12,0.3,MODERADO,R004|R005|R010,3,0,
1255504101,REVISION_MANUAL,73,0.3,MODERADO,R001|R006,2,0,
1255601101,RECHAZADO,43,0.3,MODERADO,R012,1,1,
1255702101,RECHAZADO,27,0.3,MODERADO,R010,1,0,
1255815101,RECHAZADO,56,0.3,MODERADO,R005|R012,2,1,
1255916104,RECHAZADO,0,0.3,MODERADO,R004|R009,2,0,
1256013102,RECHAZADO,11,0.3,MODERADO,R004,1,0,
1256103101,RECHAZADO,58,0.3,MODERADO,R001|R004|R005,3,0,
1256206102,RECHAZADO,30,0.3,MODERADO,,0,0,
1256302102,REVISION_MANUAL,70,0.3,MODERADO,R001,1,0,
1256409101,RECHAZADO,55,0.3,MODERADO,R012,1,1,
1256503105,RECHAZADO,23,0.3,MODERADO,R004|R012,2,1,
1256601104,RECHAZADO,13,0.3,MODERADO,R009,1,0,
1256702102,RECHAZADO,41,0.3,MODERADO,,0,0,
1256805101,RECHAZADO,30,0.3,MODERADO,,0,0,
1256904101,REVISION_MANUAL,75,0.3,MODERADO,R005|R012,2,1,
1257007101,RECHAZADO,28,0.3,MODERADO,R004|R005,2,0,
1257111101,REVISION_MANUAL,71,0.3,MODERADO,R001,1,0,
1257201101,RECHAZADO,40,0.3,MODERADO,R010|R012,2,1,
1257305101,REVISION_MANUAL,63,0.3,MODERADO,R005|R015,2,1,
1257402104,REVISION_MANUAL,65,0.3,MODERADO,R001|R009|R012,3,1,
1257501101,RECHAZADO,11,0.3,MODERADO,R004,1,0,
1257601101,RECHAZADO,44,0.3,MODERADO,R005,1,0,
1257703103,REVISION_MANUAL,78,0.3,MODERADO,R005|R012,2,1,
1257805104,RECHAZADO,26,0.3,MODERADO,R004|R005,2,0,
1257906101,RECHAZADO,42,0.3,MODERADO,R005,1,0,
1258002101,APROBADO,95,0.3,MODERADO,R005|R012|R015,3,2,
1258102101,APROBADO,85,0.3,MODERADO,R001|R012,2,1,
1258201102,RECHAZADO,28,0.3,MODERADO,R004|R005,2,0,
1258303102,RECHAZADO,29,0.3,MODERADO,,0,0,
1258404102,RECHAZADO,21,0.3,MODERADO,R002|R005,2,0,
1258502101,RECHAZADO,58,0.3,MODERADO,R001|R004|R005,3,0,
1258502201,APROBADO,86,0.3,MODERADO,R001|R012,2,1,
1258502302,APROBADO,80,0.3,MODERADO,R001|R012,2,1,
1258605102,APROBADO,85,0.3,MODERADO,R001|R012,2,1,
1258719101,RECHAZADO,53,0.3,MODERADO,R005,1,0,
1258804102,RECHAZADO,35,0.3,MODERADO,R009|R012,2,1,
1258915101,RECHAZADO,55,0.3,MODERADO,R005,1,0,
1259020101,APROBADO,100,0.3,MODERADO,R001|R005|R012|R015,4,2,
1259110102,RECHAZADO,30,0.3,MODERADO,,0,0,
1259203101,RECHAZADO,40,0.3,MODERADO,,0,0,
1259302105,RECHAZADO,26,0.3,MODERADO,R004|R012,2,1,
