llaveviv,p0_1,p0_2,p0_3,p0_4_1,p0_4_1a,p0_4_2,p0_4_2a,p1_1,p1_2,p1_3,folio,viv_sel,ent,tloc,region,est_dis,upm_dis,fac_viv
568304,3,6,3,1,1,1,1,3,1,,5683,4,17,1,5,99,1206,1411
568405,3,8,3,1,3,1,1,3,1,,5684,5,2,1,1,9,81,2980
568501,1,1,0,2,,1,2,3,1,,5685,1,17,1,5,98,1197,1206
568605,2,4,1,2,,2,,3,1,,5686,5,10,1,1,53,789,1214
568705,1,4,3,1,1,1,1,5,1,,5687,5,1,4,3,3,8,1437
568804,3,5,3,1,1,1,1,4,1,,5688,4,23,1,6,132,1533,1859
568901,1,4,2,2,,2,,2,1,,5689,1,13,3,5,73,947,2917
569001,1,2,1,2,,2,,2,1,,5690,1,29,4,5,167,1974,661
569101,2,4,2,1,1,2,,3,1,,5691,1,19,1,2,106,1268,3360
569220,3,5,1,1,3,1,2,6,1,,5692,20,10,4,1,52,768,1450
569302,2,3,1,1,1,2,,4,1,,5693,2,28,1,2,162,1880,1686
569401,1,3,1,1,2,1,1,1,1,,5694,1,19,1,2,108,1338,3413
569502,1,2,1,2,,2,,3,1,,5695,2,4,2,6,20,224,779
569617,2,2,1,2,,1,1,4,1,,5696,17,31,2,6,178,2085,2014
569703,1,1,1,2,,1,1,3,1,,5697,3,23,2,6,129,1514,2031
569819,1,3,1,2,,1,1,4,1,,5698,19,11,4,3,57,836,4721
569903,1,3,1,2,,1,1,3,1,,5699,3,7,4,6,39,453,3363
570001,2,3,1,2,,1,1,3,1,,5700,1,25,1,1,146,1731,3077
570104,2,3,1,2,,2,,3,1,,5701,4,11,2,3,59,865,5338
570204,2,3,1,2,,1,1,4,1,,5702,4,26,1,1,150,1747,2700
570312,1,1,0,2,,2,,3,1,,5703,12,7,3,6,37,442,5052
570405,3,4,2,1,1,1,1,4,1,,5704,5,29,2,5,170,2020,1036
570501,1,4,1,1,1,1,1,2,1,,5705,1,5,1,2,30,345,1490
570603,2,3,1,2,,2,,4,1,,5706,3,30,2,5,176,2079,4733
570703,3,3,1,1,3,1,1,4,1,,5707,3,6,1,3,35,420,813
570804,1,2,0,2,,2,,1,1,,5708,4,9,1,4,49,638,3604
570902,1,2,0,1,1,1,1,3,1,,5709,2,20,4,6,111,1380,3726
571005,3,8,1,1,1,1,1,5,1,,5710,5,32,1,3,189,2156,1324
571101,2,4,1,2,,1,1,1,1,,5711,1,5,1,2,30,355,1437
571204,1,2,1,2,,1,1,1,1,,5712,4,9,1,4,50,727,3076
571315,1,2,1,2,,1,1,3,1,,5713,15,14,2,3,75,966,3387
571405,2,3,1,1,1,1,1,3,1,,5714,5,22,1,3,127,1479,1952
571503,3,5,1,2,,1,1,3,1,,5715,3,26,4,1,149,1741,2121
571601,2,2,2,2,,2,,2,1,,5716,1,7,1,6,41,476,4074
571702,2,3,1,2,,2,,2,1,,5717,2,21,1,5,122,1459,760
571801,2,4,1,1,1,1,1,4,1,,5718,1,23,1,6,132,1553,1371
