edad,ingreso_mensual,total_deuda_actual,historial_crediticio,antiguedad_laboral,numero_dependientes,tipo_vivienda,proposito_credito,monto_credito,ingreso_imputado,deuda_imputada_neutra,llavemod,llavehog,dictamen,score_final,dti_ratio,dti_clasificacion,reglas_activadas,n_reglas,n_compensaciones,errores_validacion,tiene_credito,algun_atraso,y_real,y_pred
29,1600.0,480.0,2,2,0,Familiar,Consumo,10000.0,False,True,751015101,7510151,REVISION_MANUAL,73,0.3,MODERADO,R001,1,0,,True,False,1,0
58,500.0,150.0,2,2,3,Familiar,Consumo,9000.0,False,True,751604101,7516041,REVISION_MANUAL,65,0.3,MODERADO,R001,1,0,,True,False,1,0
52,2500.0,750.0,2,0,0,Propia,Consumo,10000.0,True,True,753004101,7530041,REVISION_MANUAL,70,0.3,MODERADO,R001|R004|R005|R012,4,1,,True,False,1,0
61,7000.0,2100.0,2,0,0,Propia,Consumo,10000.0,True,True,753403102,7534031,REVISION_MANUAL,71,0.3,MODERADO,R001|R004|R005|R012,4,1,,True,False,1,0
20,1900.0,570.0,2,1,1,Familiar,Consumo,10000.0,False,True,753804102,7538041,RECHAZADO,47,0.3,MODERADO,R001|R009,2,0,,True,False,1,0
67,14000.0,4200.0,2,0,0,Propia,Consumo,10000.0,True,True,754403101,7544031,REVISION_MANUAL,76,0.3,MODERADO,R001|R004|R005|R012,4,1,,True,False,1,0
64,2000.0,600.0,2,0,0,Propia,Consumo,10000.0,True,True,754803101,7548031,RECHAZADO,58,0.3,MODERADO,R001|R004|R005,3,0,,True,False,1,0
58,1500.0,450.0,2,1,1,Propia,Consumo,10000.0,False,True,755403101,7554031,REVISION_MANUAL,74,0.3,MODERADO,R001|R005,2,0,,True,False,1,0
70,2000.0,600.0,2,0,2,Propia,Consumo,10000.0,True,True,755903102,7559031,RECHAZADO,55,0.3,MODERADO,R001|R004|R005,3,0,,True,False,1,0
31,1000.0,300.0,2,1,2,Propia,Consumo,10000.0,False,True,757001102,7570011,REVISION_MANUAL,74,0.3,MODERADO,R001|R005,2,0,,True,False,1,0
42,2000.0,600.0,2,0,2,Familiar,Consumo,10000.0,True,True,757309102,7573091,RECHAZADO,42,0.3,MODERADO,R001|R004,2,0,,True,False,1,0
55,900.0,270.0,2,1,1,Familiar,Consumo,10000.0,False,True,757702101,7577021,REVISION_MANUAL,61,0.3,MODERADO,R001,1,0,,True,False,1,0
34,2000.0,600.0,2,0,3,Familiar,Consumo,10000.0,True,True,758109102,7581091,RECHAZADO,40,0.3,MODERADO,R001|R004,2,0,,True,False,1,0
25,2000.0,600.0,2,4,2,Familiar,Consumo,10000.0,True,True,758215101,7582151,REVISION_MANUAL,70,0.3,MODERADO,R001,1,0,,True,False,1,0
45,2000.0,600.0,2,0,3,Familiar,Consumo,10000.0,True,True,758319101,7583191,RECHAZADO,40,0.3,MODERADO,R001|R004,2,0,,True,False,1,0
62,300.0,90.0,2,1,0,Familiar,Consumo,5400.0,False,True,758402102,7584021,REVISION_MANUAL,60,0.3,MODERADO,R001,1,0,,True,False,1,0
54,4000.0,1200.0,2,0,0,Propia,Consumo,10000.0,True,True,761705102,7617051,REVISION_MANUAL,71,0.3,MODERADO,R001|R004|R005|R012,4,1,,True,False,1,0
45,2000.0,600.0,2,0,1,Propia,Consumo,10000.0,True,True,761919101,7619191,RECHAZADO,58,0.3,MODERADO,R001|R004|R005,3,0,,True,False,1,0
39,600.0,180.0,2,1,2,Propia,Consumo,10000.0,False,True,763113102,7631131,REVISION_MANUAL,74,0.3,MODERADO,R001|R005,2,0,,True,False,1,0
61,7000.0,2100.0,2,0,0,Propia,Consumo,10000.0,True,True,763705101,7637051,REVISION_MANUAL,71,0.3,MODERADO,R001|R004|R005|R012,4,1,,True,False,1,0
47,1500.0,450.0,2,1,0,Familiar,Negocio,12000.0,False,True,764106102,7641061,REVISION_MANUAL,75,0.3,MODERADO,R001|R006,2,0,,True,False,1,0
23,2500.0,750.0,2,0,1,Familiar,Negocio,12000.0,True,True,764514101,7645141,RECHAZADO,56,0.3,MODERADO,R001|R004|R006,3,0,,True,False,1,0
25,1800.0,540.0,2,4,2,Familiar,Consumo,10000.0,False,True,764617102,7646171,REVISION_MANUAL,70,0.3,MODERADO,R001,1,0,,True,False,1,0
43,1200.0,360.0,2,2,0,Familiar,Consumo,10000.0,False,True,766303102,7663031,REVISION_MANUAL,72,0.3,MODERADO,R001,1,0,,True,False,1,0
22,1500.0,450.0,2,2,0,Familiar,Consumo,10000.0,False,True,768004101,7680041,REVISION_MANUAL,71,0.3,MODERADO,R001,1,0,,True,False,1,0
63,1000.0,300.0,2,1,0,Familiar,Consumo,10000.0,False,True,769212101,7692121,REVISION_MANUAL,60,0.3,MODERADO,R001,1,0,,True,False,1,0
32,1050.0,315.0,2,2,2,Familiar,Consumo,10000.0,False,True,770604104,7706041,REVISION_MANUAL,69,0.3,MODERADO,R001,1,0,,True,False,1,0
29,800.0,240.0,2,2,1,Familiar,Consumo,10000.0,False,True,771005102,7710051,REVISION_MANUAL,71,0.3,MODERADO,R001,1,0,,True,False,1,0
36,1000.0,300.0,2,2,1,Familiar,Consumo,10000.0,False,True,771115102,7711151,REVISION_MANUAL,71,0.3,MODERADO,R001,1,0,,True,False,1,0
79,2000.0,600.0,2,0,0,Propia,Consumo,10000.0,True,True,771304101,7713041,RECHAZADO,58,0.3,MODERADO,R001|R004|R005,3,0,,True,False,1,0
49,1400.0,420.0,2,1,0,Familiar,Consumo,10000.0,False,True,771820102,7718201,REVISION_MANUAL,62,0.3,MODERADO,R001,1,0,,True,False,1,0
22,7000.0,2100.0,2,0,2,Familiar,Consumo,10000.0,True,True,772005102,7720051,RECHAZADO,53,0.3,MODERADO,R001|R004|R012,3,1,,True,False,1,0
50,2000.0,600.0,2,1,1,Propia,Consumo,10000.0,False,True,772601102,7726011,REVISION_MANUAL,76,0.3,MODERADO,R001|R005,2,0,,True,False,1,0
